ticker,currentPrice,low52Week,high52Week,sharesShort,sharesShortPriorMonth,shortChange,shortInterest,averageVolume,marketcap,enterpriseValue,trailingPE,forwardPE,trailingEPS,forwardEPS
VKTX,10.62,3.28,25.72,13894349.0,12912647.0,7.602639489796322,13.890320806965981,1850853,1062307968.0,703809664.0,,,,
UUUU,7.295,4.85,9.03,21934858.0,20959460.0,4.653736308091907,13.860978021269165,2654468,1154426368.0,1098784896.0,14.028847,-48.63333,,
FL,21.865,14.84,47.22,13004245.0,11315026.0,14.928989115888907,13.81091279450123,5020578,2058790912.0,4818159616.0,13.751572,10.512019,,
SPT,50.045,37.0,74.07,7693428.0,6261003.0,22.878522818149104,15.881796299889764,616440,2789228032.0,2544427520.0,,,,
GOOS,12.895,12.695,24.73,14197488.0,12696350.0,11.823382310664087,27.218275513021073,810582,1327230848.0,2044536832.0,37.92647,10.07422,,
GKOS,67.17,40.45,80.28,6646533.0,6482007.0,2.538195345978491,13.662050664342566,448371,3267793664.0,3271233280.0,,,,
STAA,41.87,37.01,81.81,6617393.0,6655649.0,-0.5747899265721496,13.644137410592599,921107,2030690816.0,1799958528.0,82.09804,39.130836,,
CYTK,35.64,25.98,49.66,13058183.0,11608543.0,12.48769979143808,13.602557344944685,993907,3421368576.0,3468304384.0,,,,
ALT,2.71,2.34,17.17,7149556.0,6034478.0,18.478450000149145,13.570021865225183,1092093,142780144.0,-18905106.0,,,,
INVA,13.38,10.64,13.9,8787273.0,8721827.0,0.7503703065882871,13.498529908752957,573907,871011264.0,1141714688.0,5.030075,12.6226425,,
CNMD,95.48,71.09,138.47,4142081.0,4020945.0,3.0126251416022853,13.474651754403085,345564,2935036160.0,3883736832.0,31.933111,21.650795,,
HLF,14.85,11.14,22.73,13299082.0,12323902.0,7.912915893034528,13.433565966230573,1647065,1470133632.0,3670415616.0,6.4847164,4.3168607,,
XPOF,14.31,13.74,33.58,4482414.0,4039447.0,10.966030746287796,13.398338066058885,707632,715012032.0,916708288.0,,,,
IDEX,2.575,1.72,47.5,1602634.0,726486.0,120.6008099261376,13.361741508395724,467357,30885066.0,72360568.0,,,,
SOUN,1.9,0.93,5.11,32098039.0,26725101.0,20.104462841880373,15.794724436571203,13574585,457339488.0,411511776.0,,,,
ACHR,5.235,1.62,7.49,37809388.0,31320970.0,20.7158909829421,15.970983956948187,9316382,1486190464.0,920711616.0,,,,
PETS,10.21,9.3,22.64,2814182.0,3211373.0,-12.368261176761466,13.293694170331566,415610,216138560.0,137771856.0,,,,
RVLV,15.205,12.25,32.59,9749356.0,9908885.0,-1.6099591427289752,23.84795982515233,1332557,1117239040.0,839725824.0,27.645454,23.39231,,
PACB,8.105,6.12,14.55,33071061.0,33057303.0,0.041618640213933966,13.198964311656383,3905953,2030772480.0,2108650240.0,,,,
LITE,42.48,40.27,75.56,8819621.0,9647791.0,-8.584037527346934,13.163652727321573,1441992,2846151424.0,3622813952.0,,,,
KYMR,12.345,12.01,39.85,7290713.0,7162474.0,1.7904288378568636,13.157210583209867,415620,684064832.0,400346112.0,,,,
PROK,2.805,2.37,14.19,8104734.0,6238308.0,29.918785670729946,13.159129212114914,456581,1834716928.0,1506614912.0,,,,
BOOT,80.85,50.201,104.91,3944612.0,2863481.0,37.75582935594824,13.152301629111957,726900,2424836864.0,2786388992.0,15.112149,13.019323,,
OSTK,16.93,14.68,39.27,5940920.0,5678203.0,4.62676307979831,13.14269786209826,2355651,765290176.0,377735328.0,,,,
